name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw,city,category,lat,lng,Tourpedia_id
Panthéon,https://www.paris-pantheon.fr/,"On the Montagne Sainte-Geneviève in Paris, visit the Panthéon, a masterpiece by architect Soufflot.",13.0,Free for under 26s,"From April 1st to September 30th
10:00 AM - 6:30 PM
From October 1st to March 31st
10:00 AM - 6:00 PM
Note: Last access to the monument 45 minutes before closing.
Open seven days a week (see closure schedule)","cash | bank cards | cheques | Culture cheques (UP only) - paper format only (not debited)
Culture cheques (ANCV) - paper format only (not debited)
Vacation cheques (ANCV) - paper format only (not debited)","Place du Panthéon, 75005 Paris","The monument does not have a baggage or cloakroom. Only standard backbacks are accepted.
Hats are not allowed.
Batteries are not allowed (scooters, etc.)
Accessible ramp outside for PMR (wheelchair users), and inside elevator giving access to the entirety of the nave.
Strollers are allowed.
Scooters, roller skates, skateboards are prohibited.
Food and drinks are prohibited.
Dogs are not allowed within the gates of the Panthéon, except for guide dogs and assistance dogs.
Personal photographs are allowed (non-commercial use only), tripods are prohibited.
Drones are prohibited.
Professional photographs (LinkedIn, etc.), class photographs, wedding photographs and event photographs are prohibited inside the monument and an authorization is required for the outside of the Panthéon.
Filming is only permitted with prior authorization.",Price: 13 €,,,48.846198,2.3464,
Château de Châteaudun,https://www.chateau-chateaudun.fr/,"Visit the residence of a faithful companion-in-arms of Joan of Arc and stroll through the hanging gardens, unique in the Centre region!",7.0,Free for under 26s,"Exceptional closure on Thursday, January 29, 2026.
From September 5th to April 30th
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
From May 2nd to September 4th
10:00 AM - 1:00 PM and 2:00 PM - 6:00 PM
Note: Last access to the monument one hour before closing.
Closed on January 1st, May 1st and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Place Jehan de Dunois, 28200 Châteaudun","Dogs are prohibited except for guide and assistance dogs. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas. | Bookstore-shop offering a wide range of books and objects for adults and children. | Access is only possible to certain rooms on the ground floor for wheelchair users with manual wheelchairs. | Toilets and accessible toilets. | Parking and accessible parking.",Price: 7 €,,,48.0704,1.3277,
Villa Savoye,https://www.villa-savoye.fr/,"Near Paris, visit Villa Savoye in Poissy, a modernist manifesto signed by Le Corbusier.",9.0,Free for under 26s,"From May 2nd to August 31st
10am - 6pm
Closed on Mondays
From September 1st to April 30th
10am - 5pm
Closed on Mondays
Note: last access 30 minutes before closing time
Closed May 1st, December 25th and January 1st
First Sunday of the month - free from November 2026 to March 2026.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"82, rue de Villiers, 78300 Poissy","Pets are not allowed, except for assistance dogs. | Strollers are not allowed inside the monument. | In accordance with Vigipirate guidelines, all access to the site is preceded by a visual inspection of bags. | Access to the site is not allowed with suitcases or large bags, and the monument does not take any luggage in deposit. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas. | Pedal-operated hand sanitizer dispensers | Waste bins | Toilets | Bookstore-shop",Price: 9 €,,,48.924425,2.02828,
Château de Fougères-sur-Bièvre,https://www.fougeres-sur-bievre.fr/,Discover the image of this fortified castle with its keep and entrance curtain at a magnificent height.,7.0,Free for those under 26 years old.,"Exceptional closure on Thursdays, January 8, 2026.
From September 5th to April 30th
10am - 12:30pm and 2pm - 5pm
Closed on Tuesdays.
From May 2nd to September 4th
9:30am - 12:30pm and 2pm - 6pm
Closed on January 1st, May 1st and December 25th.
Last access 60 minutes before closing.
Exceptionally closed at 4pm on December 25th and January 1st.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),Le Controis-en-Sologne,"Bookstore-shop offering a wide range of books and objects for young and old | Toilets | Parking | Accessible parking | Bike parking | Picnic area accessible to the outside of the monument | Animals are prohibited except for assistance dogs | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outside where children and adolescents may be present or exposed, such as parks and public gardens, become smoke-free areas. | Strollers are recommended, prefer the baby carrier",Price: 7 €,,,47.447739,1.343808,
Château de Puyguilhem,https://www.chateau-puyguilhem.fr/,"About 34 kilometers from Périgueux, discover the elegant Renaissance silhouette of Château de Puyguilhem.",7.0,Free for under 26s,"From April 1st to April 30th
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
Closed on Mondays
From May 2nd to May 31st
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
From June 1st to September 30th
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
Closed on Mondays
From October 1st to March 31st
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
Closed on Mondays and Tuesdays
Attention: Last access to the monument one hour before closing.
Closed on January 1st, May 1st, November 1st and 11th, and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"891 rue Mondot de la Marthonie, 24530 VILLARS","Free park visit. | Dogs are accepted outdoors and must be kept on a leash. | Strollers are not accepted on the 1st floor of the Renaissance Lodgings. | For a scheduled animation at a fixed time, please present yourself at the ticket office at least 15 minutes before the start of the animation. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, are now smoke-free.",Price: 7 €,,,45.4258,0.7449,
Château d'If,https://www.chateau-if.fr/,"Off the coast of Marseille, discover the Château d'If and its unique panorama.",7.0,Free for under 26s,"From April 1st to September 30th
10am - 6pm
From October 1st to March 31st
10am - 5pm
Closed on Mondays
Attention: In case of inclement weather, the Château d'If is not open.
Closed on January 1st, May 1st and December 25th.
Tuesday, December 9th, the Château d'If will be exceptionally closed from 13:00 to 15:15.",cash | bank cards (strongly recommended) | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Île d'If, 13007 Marseille","It is forbidden to drink alcohol, throw stones at the seagulls, or throw stones from the ramparts and terraces. | Swimming is prohibited | Knives and aerosols are prohibited | There are no bins on the island. Suitcases and large backpacks are prohibited. | The island of If is at the heart of the Calanques National Park, it is forbidden to dispose of your waste on the island. Please take back your waste. | Only assistance dogs are allowed in the monument. | During periods of extreme heat, remember to drink water (a water point is available on site) and a hat. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas. | Quite uneven terrain. Slippery ground: wear appropriate footwear | Be vigilant about the heat in the summer season | Many steps | Rest areas | Toilets | The site is not accessible to people with disabilities | Prams are not allowed within the walls of the castle",Price: 7 €,,,43.2798,5.3251,
Tours de La Rochelle,https://www.tours-la-rochelle.fr/,"Visit the three towers of La Rochelle, vestiges of the medieval maritime fortifications.",9.5,Free for under 26s,"From October 1st to March 31st
10:00 AM - 12:45 PM and 2:00 PM - 5:30 PM
From April 1st to June 30th
10:00 AM - 12:45 PM and 2:00 PM - 6:30 PM
From July 1st to August 31st
10:00 AM - 6:30 PM
From September 1st to September 30th
10:00 AM - 12:45 PM and 2:00 PM - 6:30 PM
The Saint-Nicolas Tower is closed until further notice. The towers of La Chaîne and de la Lanterne remain open.
The towers of La Rochelle are exceptionally closed on January 6th, 2026, all day, and then from January 19th to January 23rd, 2026, inclusive. 
Attention: Last access to the monument 45 minutes before closing.
Closed on January 1st, May 1st, and December 25th",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV),"Tour de la Chaîne - tour de la Lanterne - tour Saint-Nicolas, Vieux port, Place de la Chaîne, 17000 La Rochelle, Tel: 05 46 34 11 81, tours.larochelle@monuments-nationaux.fr","The route includes many steps. | The monument does not have toilets. | Suitcases and large backpacks are prohibited. | Strollers are not allowed in the tour circuit but can be deposited in a secure area at reception. | Animals are not allowed, even in a transport bag. | Eating is prohibited inside and outside the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas where children and adolescents may be present, such as public parks and gardens, become non-smoking areas. | The monument is not accessible to unaccompanied minors. | For groups, advance reservation is required to access the monument: consult the dedicated group page.",Price: 9.50 €,,,46.1553,-1.1527,
Château de Montal,https://www.chateau-montal.fr/,"About 26 kilometers from Rocamadour, visit a jewel of French Renaissance with its unique sculpted decor.",9.0,Free for under 26 years old,"From May 2nd to 31st
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
From September 1st to April 30th
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
Closed on Tuesdays
Attention: Last access to the monument 1 hour before closing.
Closed on January 1st, May 1st, November 1st and 11th, and December 25th.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"307 allée Jeanne de Balzac, 46400, Saint-Jean Lespinasse","Dogs not allowed | Strollers not allowed on the first floor | Photos are allowed in the castle without flash | Within the framework of a scheduled animation at a fixed time, please present yourself at the ticket office at least 15 minutes before the start of the animation | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas.",Price: 9 €,,,44.8606,1.8683,
Château de Pierrefonds,https://www.chateau-pierrefonds.fr/,"Discover the Château de Pierrefonds, redesigned in the 19th century by architect Viollet-le-Duc.",9.0,Free for those under 26 years old,"From September 5th to April 30th
10:00 AM - 5:30 PM
From May 2nd to September 4th
9:30 AM - 6:00 PM
Attention: Last access to the monument one hour before closing.
Park closure 45 minutes before the monument closes.
Closed on January 1st, May 1st, and December 25th.",cash | bank cards | cheques | Culture cheques | ANCV holiday cheques (only at ticket office) | Lire cheques (only in shop),"Rue Viollet-le-Duc, 60350 Pierrefonds","Dogs are not allowed in the castle and must be kept on a leash in the park | Strollers are allowed in the park, not allowed in the castle | Stroller parking in the courtyard of honor | Photos are allowed in the castle without flash and without tripod | Seats for wheelchairs are available at the beginning of the visit. | Luggage lockers are available at the monument reception. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument.",Price: 9 €,,,49.347,2.9802,
Villa Cavrois,https://www.villa-cavrois.fr/,"Near Lille, discover Villa Cavrois, an emblematic monument of Robert Mallet-Stevens!",11.0,Free for under 26s (excluding school groups),"From January 2nd to December 31st
10:00 AM - 6:00 PM
Closed on Mondays
Last access to the monument 45 minutes before closing
Evacuation 15 minutes before closing
Annual closures
January 1st, May 1st, and December 25th",Cash | Bank cards | Cheques | Culture cheques | Holiday cheques (ANCV) (only for entry rights) | Lire cheques (only in the shop) | Administrative mandate & Pass culture (reservation for groups),"60 avenue John Fitzgerald Kennedy, 59170 Croix","Photos are allowed without flash inside the villa | It is forbidden to use a tripod or any large professional equipment without requesting it from the monument in advance | Dogs are prohibited in the park and the villa, only guide dogs are accepted | Prams are prohibited inside the villa, they must be left in front of the main entrance, under the awning inside the park. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In accordance with Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas.",Price: 11 €,,,50.6667,3.16403,
Cité internationale de la langue française - château de Villers-Cotterêts,https://www.cite-langue-francaise.fr/,"Discover a cultural and life center entirely dedicated to the French language and Francophone cultures, at the heart of the castle of Villers-Cotterêts in the Aisne.",9.0,Free for those under 26 years old,"Access to the permanent route
Tuesday to Sunday
10:00 AM - 6:30 PM
Last access to the Cite, one hour before closing.
Note: we recommend at least 2 hours of visit to discover the 1200m2 of the permanent route and its fifty devices. Do not hesitate to plan your arrival time accordingly for a smooth visit.
Closed on Mondays and January 1st, May 1st, and December 25th. Closed at 5:30 PM on December 24th and 31st (last access at 4:30 PM).
Access to the Cour des Offices: from September 2nd, 2025 to July 3rd, 2026, from 8:30 AM and from 9:30 AM during school holidays.
Café Chez Alexandre
Tuesday to Sunday
10:00 AM - 6:00 PM
Librairie L'Arbre à palabres
Tuesday to Sunday
10:00 AM - 6:45 PM",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Read cheques (only in the shop),"1, place Aristide Briand, 02600 Villers-Cotterêts","Self-service lockers at your disposal to deposit your personal belongings, except for large suitcases (larger than 55cm x 35cm x 20cm) | Wheelchairs available upon request at the ticket office | Strollers and baby carriers are allowed in the Cite | Baby changing facilities are available on the ground floor | Photography is allowed without flash | Picnicking is allowed, provided you take away your own waste | Smoking is prohibited throughout the site",Price: 9 €,,,49.255846,3.09185,
Maison et jardins de Georges Clemenceau,https://www.maison-de-clemenceau.fr/,Discover the countryside where Georges Clemenceau found solace during the last ten years of his life.,9.0,Free for under 26s,"From May 15th to September 15th
10:00 AM - 12:30 PM and 2:00 PM - 6:30 PM
From September 16th to May 14th
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
Attention: Last access to the monument 45 minutes before closing.
Closures
Closed on January 1st, May 1st, November 1st and December 25th.
The monument is closed every Monday.
Exceptional closures Wednesday December 17th, 2025 all day, Thursday December 18th morning, Tuesday January 6th, 2026 all day.",cash | credit cards | cheques | culture cheques | ANCV holiday cheques,"76 rue Georges Clemenceau, 85520 Saint-Vincent-sur-Jard, Tel: 02 51 33 40 32, maison.clemenceau@monuments-nationaux.fr","Possibility of rest during the visit. | Folding chairs and cane seats are available upon request at the reception. | The FACIL bag: the bag that adapts to you! The new accessibility device of the Georges Clemenceau house and gardens. This bag containing soothing objects is at your disposal for the visit of the monument. Free and upon request. It must be returned after your visit at the reception. Everything in this bag is designed to offer you a more comfortable and adaptable visit to your needs: sunglasses to soften the light, noise-canceling headphones to cut out sounds too close, stress ball to relieve pressure. Whether you are hypersensitive, a little anxious, tired or simply want to visit at your own pace, this kit is for you to accompany you. Thus the FACIL bag, Facilitates, Accompanies, Calms, Implicates, and Releases. Come visit the monument with confidence! | Magnetic induction loop at the ticket office and in the shop. | Tactile tactile signage. | Scented diffuser in the tour route in the exhibition hall. | Audio tour (for the comfort of visitors, we advise you to bring your headphones or audio headset. Some audio headsets are available at the reception upon presentation of a valid identity document). | Bookstore. | Wi-Fi. | Suitcases and large hiking backpacks are prohibited. Small bags (dimensions less than cabin format) are allowed. | Animals are not allowed, even in a transport bag, except for guide dogs for the visually impaired or assistance dogs. | Eating is prohibited in the monument. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public where children and adolescents may be present or exposed, such as public parks and gardens, are smoke-free. | Knives are prohibited. | Scooters are prohibited. | The monument is not accessible to unaccompanied minors without a responsible adult.",Price: 9 €,,,46.406892,-1.546952,
Château de Castelnau-Bretenoux,https://www.castelnau-bretenoux.fr/,"25 kilometers from Rocamadour, visit the fortified castle of the barons of Castelnau.",9.0,Free for under 26s,"From May 2nd to June 30th
10am - 12:30pm and 2pm - 6:30pm
From July 1st to July 31st
10am - 6:30pm
From September 1st to April 30th
10am - 12:30pm and 2pm - 5:30pm
Closed on Tuesdays
Attention: last access to the monument one hour before closing.
Closed on January 1st, May 1st, November 1st and 11th, and December 25th.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"1 place Jean Moulierat, 46130 Prudhomat","Dogs are allowed on a leash in the castle, except inside the apartments | Strollers are allowed outdoors, outside the apartments | Photos are allowed in the castle without flash | During a scheduled animation at a fixed time, please present yourself at reception/ticket office at least 15 minutes before the start of the animation | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor areas where children and adolescents may be present or exposed, such as public parks and gardens, are now smoke-free",Price: 9 €,,,44.8993,1.8255,
Monastère de Saorge,https://www.monastere-saorge.fr/,"Discover an ancient convent of Franciscans, a remarkable testament to Baroque architecture.",7.0,Free for under 26s,"From February 1st to May 31st
Open daily except Monday
10am - 1pm and 2pm - 5pm
From June 1st to September 30th
Open daily
10am - 6pm
From October 1st to October 31st
Open daily except Monday
10am - 1pm and 2pm - 5pm
Attention: Last access to the monument 30 minutes before closing.
Annual closure from November 1st to January 31st
Closed on May 1st.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Montée du couvent, 06540 Saorge","Bookshop-shop | Sale of fresh drinks | Toilets | Dogs are not allowed (except guide and assistance dogs) | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas.",Price: 7 €,,,43.9885,7.552,
Chapelle expiatoire,https://www.chapelle-expiatoire-paris.fr/,"In the heart of the square Louis XVI in Paris, discover the Chapelle expiatoire, a late neoclassical gem.",7.0,Free for those under 26 years old,"From April 1st to September 30th
10:00 AM - 12:30 PM and 1:30 PM - 6:30 PM
Closed Sundays and Mondays
From October 1st to March 31st
10:00 AM - 12:30 PM and 1:30 PM - 5:00 PM
Closed Sundays, Mondays, and Tuesdays
Last access to the monument 30 minutes before closing.",cash | bank cards | cheques | culture cheques | holiday cheques (ANCV) | Lire cheques (only in the shop),"Square Louis XVI, 29, rue Pasquier, 75008 Paris",,Price: 7 €,,,48.8737,2.323,
Palais Jacques Cœur,https://www.palais-jacques-coeur.fr/,"Discover the exceptional figure of Jacques Cœur, merchant, adventurer and treasurer to King Charles VII.",9.0,Free for those under 26 years old,"From April 1st to April 30th
Free visit: 10am - 12:15pm and 2pm - 5:45pm
Guided visit: 10:30am; 2:30pm; 3:30pm; 4:15pm

From May 2nd to June 30th
Free visit: 9:30am - 12:15pm and 2pm - 6:15pm
Guided visit: 10:30am; 2:30pm; 3:30pm; 4:45pm

From July 1st to July 31st
Free visit: 10am - 6:15pm
Guided visit: 10:30am; 11:30am; 2:30pm; 3:30pm; 4:45pm

From July 1st to September 30th
Free visit: 10am - 12:15pm and 2pm - 5:45pm
Guided visit: 10:30am; 2:30pm; 3:30pm; 4:15pm

From October 1st to March 31st
Exceptional closure on December 15th morning
Free visit: 9:30am - 12:15pm and 2pm - 5:15pm
Guided visit: 10:30am; 2:30pm; 3:45pm
Note: Last access to the monument 45 minutes before closing.
Closed on January 1st, May 1st, November 1st and 11th, and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"10 bis rue Jacques Cœur, 18000 Bourges","Shop | Dogs not allowed | Strollers not allowed inside the palace | Photography allowed | Large backpacks and wheeled suitcases are prohibited. No lockers available. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas.",Price: 9 €,,,47.0843,2.3938,
Cloître de la Psalette,https://www.cloitre-de-la-psalette.fr/,"Visit the cloister of the Saint-Gatien Cathedral in Tours, between Gothic and Renaissance.",4.0,Free for under 26s,"ATTENTION : the cloister is exceptionally closed until January 4, 2026 inclusive.
From September 8th to October 31st
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
From November 1st to February 28th
9:30 AM - 12:30 PM and 2:00 PM - 5:00 PM
From March 1st to May 3rd
10:00 AM - 12:30 PM and 2:00 PM - 5:30 PM
From May 4th to September 7th
9:30 AM - 12:30 PM and 2:00 PM - 6:00 PM
Note: Last access to the monument 15 minutes before closing.
Closed every Sunday morning throughout the year, Mondays and Tuesdays from October 1st to March 31st.
Closed January 1st, May 1st, November 11th after 1 p.m. and December 25th.",cash | bank cards | cheques | Culture cheques | holiday cheques (ANCV),"Saint-Gatien Cathedral, Rue Lavoisier, 37000 TOURS","Free visit | Visitor documents are available at the ticket office free of charge in French, English, German, Spanish, Italian and Dutch. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor places where children and adolescents may be present or exposed, such as parks and public gardens, become smoke-free.",Price: 4 €,,,47.395566,0.693857,
Château de Champs-sur-Marne,https://www.chateau-champs-sur-marne.fr/,"Discover the Château de Champs-sur-Marne, a jewel of classic architecture in north-east France.",9.0,Free for under 26s,"Open every day except Tuesday.
June 1st to September 30th
10:00 AM - 12:15 PM and 1:30 PM - 6:00 PM
October 1st to May 31st
10:00 AM - 12:15 PM and 1:30 PM - 5:00 PM
Last access to the castle 30 minutes before closing. The park closes 30 minutes after the castle.
Note: The monument may close for various events, we invite you to regularly consult the website, including on the day of your visit.","Cash | Bank cards | Cheques | Culture cheques (ticketing and shop, no refunds) | Vacation cheques (ANCV) only for ticketing without refunds | Lire cheques (only in the shop) without refunds","31, rue de Paris, 77420 Champs-sur-Marne","Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places where children and adolescents may be present or exposed, such as public parks and gardens, are smoke-free. | Dogs are not allowed in the castle and in the park (except guide and assistance dogs) | Prams are not allowed in the castle | Large backpacks and suitcases are not allowed | Do not touch the artworks exhibited in the castle | Photography is allowed in the castle without flash | Picnics are allowed in designated areas of the park | Toilets | Elevator | Wedding photographs in the estate are subject to authorization and pricing. Contact us.",Price: 9 €,,,48.8524,2.6049,
Château de Villeneuve-Lembron,https://www.chateau-villeneuve-lembron.fr/,"Discover a stunning painted decor, as well as important furniture.",7.0,Free for under 26s,"From May 15th to September 15th
10:00 - 12:30 and 14:00 - 18:30
Closed on Mondays
Guided tour only: 10:30, 11:30, 14:30, 15:30 and 16:30
From September 16th to May 14th
10:00 - 12:30 and 14:00 - 17:30
Closed on Mondays and Tuesdays
Guided tour only: 10:30, 14:30 and 16:00
Exceptional closure on Sundays October 12th, September 9th and November 23rd 2025

Closed on January 1st, May 1st, November 1st and 11th, December 25th.",Cash | Bank cards | Cheques | Culture cheques | Vacation cheques (ANCV) | Lire cheques (only in the shop),63340 Villeneuve-Lembron,"Strollers are allowed in the park and in the castle. | Dogs are prohibited in the castle and in the park except for guide dogs. | Photos are allowed in the castle without flash. | Do not touch the artworks exhibited in the castle. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27th 2025 relating to smoke-free areas, places where children and adolescents may be present or exposed, such as public parks and gardens, become smoke-free areas.",Price: 7 €,,,45.478005,3.185902,
Château d'Oiron,https://www.chateau-oiron.fr/,Awaken your senses and your curiosity by exploring the heritage of yesterday and today.,9.0,Free - from 26 years old,"From October 1st to May 31st
10:30 AM - 5:30 PM
From June 1st to September 30th
10:30 AM - 6:30 PM
Allow 1.5 hours to 2 hours to fully enjoy your visit
Note:
Last access to the monument, one hour before closing.
The rooms are closed gradually 30 minutes in advance of the general closure of the monument
Closed on January 1st, May 1st, November 1st and 11th, and December 25th",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"10-12 rue du château, Oiron, 79100 Plaine-et-Vallée","Only guide and assistance dogs are allowed. | Strollers are allowed in the park. | Lockers available at the castle upon request at the reception. | Accessible toilets. | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to non-smoking areas, collective outdoor places where children and adolescents may be present or exposed, such as public parks and gardens, become non-smoking areas.",Price: 9 €,,,46.9518,-0.0774,
Site des mégalithes de Locmariaquer,https://www.site-megalithique-locmariaquer.fr/,"Near Carnac, visit the Locmariaquer megalithic site.",7.0,Free for under 26s,"From October 1st to March 31st, 2025
Closed on Mondays
Ticket office and site access: 10am - 12:30pm / 2pm - 4:30pm
From April 1st to April 30th
Ticket office and site access: 10am - 12:30pm / 2pm - 5:30pm
From May 2nd to July 6th
Ticket office and site access: 10am - 5:30pm
From July 7th to August 24th
Ticket office and site access: 10am - 6:30pm

From August 25th to September 30th
Ticket office and site access: 10am - 5:30pm

The shop remains open for 30 minutes after the site closes.

Closed on January 1st, May 1st, and December 25th.",cash | credit cards | cheques | culture cheques | ANCV holiday cheques | Lire cheques (only at the shop),"Route de Kerlogonan, 56740 Locmariaquer, Tel.: 00 33 (0)2 97 57 37 59","Pets are not allowed on the site, even in a transport bag, except for guide and assistance dogs | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In accordance with Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, collective outdoor areas such as public parks and gardens become smoke-free. | Vaping is prohibited | No eating or drinking on the site. | No luggage storage
Entry with suitcase and large bag is not allowed as part of the Vigipirate measures. | Bookshop | Toilets with changing table | Wear appropriate clothing for outdoor monument visits | Access to the dolmen is limited | Visitors under 13 years of age accompanied by an adult | No climbing on monuments or touching the engraved stones in the dolmen | Benches and chairs available at the reception | Amateur photography is allowed on the site. Professionals require permission from the administration. | Drone flying is not authorized on the site unless otherwise authorized. Request authorization from the national monument administration: carnac@monuments-nationaux.fr | In case of extreme heat or drought, depending on the current vigilance alert, some visits may be modified.
It is recommended to bring water during your visit.
Protect yourself from the sun (hat, sunglasses, sunscreen). For those sensitive to the sun, consider postponing your visit.",Price: 7 €,,,47.5727,-2.9564,
Abbaye de Cluny,https://www.cluny-abbaye.fr/,"Discover the vestiges of a spiritual center, the seat of the largest medieval monastic order in Western Europe.",11.0,Free for under 26s,"ABBAYE DE CLUNY
Dusk access to the abbey, 45 minutes before closing
From April 1st to June 30th
9:30 AM - 6:00 PM
From July 1st to August 31st
9:30 AM - 7:00 PM
From September 1st to September 30th
9:30 AM - 6:00 PM
From October 1st to March 31st
9:30 AM - 5:00 PM
MUSÉE D'ART ET D'ARCHÉOLOGIE DE CLUNY
Dusk access to the museum, 30 minutes before closing
From April 1st to April 30th
10:30 AM - 12:30 PM and 2:00 PM - 6:00 PM
From May 1st to June 30th
9:30 AM - 12:30 PM and 2:00 PM - 6:00 PM
From July 1st to August 31st
10:00 AM - 1:00 PM and 3:30 PM - 6:45 PM
From September 1st to September 30th
10:00 AM - 12:30 PM and 2:00 PM - 5:45 PM
From October 1st to March 31st
9:30 AM - 12:30 PM and 2:00 PM - 5:00 PM
ATTENTION
Exceptional closures on January 26th and February 24th 2026.
Annual closures of both sites on January 1st, May 1st, November 1st, November 11th and December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"Palais du Pape Gélase, Place du 11 août 1944, 71250 Cluny","Free access bookshop | Dogs in harnesses are allowed | Strollers are allowed | Photos allowed without flash | No luggage storage is offered within the monuments (possible at the Tourist Office). | Smoking is prohibited throughout the site, both indoors and outdoors of the monument. In application of Decree No. 2025-582 of June 27, 2025 relating to smoke-free areas, places open to the public outdoors where children and adolescents may be present or exposed, such as parks and public gardens, are smoke-free.",Price: 11 €,,,46.4348,4.658,
Ensemble cathédrale du Puy-en-Velay,https://www.cathedrale-puy-en-velay.fr/,Discover the treasures of the Puy-en-Velay cathedral complex.,7.0,Free for under 26s,"From May 15th to September 15th
9:30 AM - 6:30 PM (every day)
From September 16th to May 14th
9:30 AM - 12:15 PM and 2:00 PM - 5:00 PM (Tuesday to Sunday)
Attention: last access to the monument 30 minutes before closing.
Closed on Mondays from September 16th to May 14th, January 1st, May 1st, November 1st and 11th, December 25th.",cash | bank cards | cheques | Culture cheques | vacation cheques (ANCV) | Lire cheques (only in the shop),"3, rue du Cloître, 43000 Le Puy-en-Velay","Dogs not allowed (except guide dogs for the blind). | Access discouraged for strollers, many stairs. | Photos allowed in all areas, without flash. | Toilets inside the monument.",Price: 7 €,,,45.0458,3.884699,
