input_name,wiki_name,wiki_description,wiki_url,category,lat,lon
Église Saint-Antoine de Padoue,Église Saint-Antoine-de-Padoue,Several Roman Catholic churches bear the name Saint-Antoine-de-Padoue church.,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Antoine-de-Padoue,Church,,
Église de Marie-Médiatrice-de-Toutes-les-Grâces,Église de Marie-Médiatrice-de-Toutes-les-Grâces,"The Church of Marie-Médiatrice-de-Alles-les-Grâces, or Church of Marie-Médiatrice or Notre-Dame-de-Fatima Church is a Catholic church in the 19th arrondissement of Paris. Located at the crossroads of Boulevard Sérurier and Avenue de la Porte-du-Pré-Saint-Gervais, it was built between 1950 and 1954 by the architect Henri Vidal.",https://fr.wikipedia.org/wiki/%C3%89glise_de_Marie-M%C3%A9diatrice-de-Toutes-les-Gr%C3%A2ces,Church,48.87917,2.4025
Église de la Trinité,"Sainte-Trinité, Paris","The Église de la Sainte-Trinité (French pronunciation: ) is a Roman Catholic church located on the place d'Estienne d'Orves, at 3 rue de la Trinité, in the 9th arrondissement of Paris. It was built between 1861 and 1867 during the reign of Emperor Napoleon III, in the residential neighborhood of the Chaussée d'Antin. It is in the ornate Neo-Renaissance or Second Empire Style, with a highly visible 65-meter-tall belfry.","https://en.wikipedia.org/wiki/Sainte-Trinit%C3%A9,_Paris",Church,,
Église Réformée de Passy Annonciation,Église protestante unie de Paris Passy-Annonciation,"The United Protestant Church of the Annonciation is a Protestant parish whose temple is located at 19, rue Cortambert, in the 16th arrondissement of Paris. The parish is a member of the United Protestant Church of France.",https://fr.wikipedia.org/wiki/%C3%89glise_protestante_unie_de_Paris_Passy-Annonciation,Church,48.8619,2.28056
Église Saint-Lambert de Vaugirard,Église Saint-Lambert de Vaugirard,The Saint-Lambert church in Paris or Saint-Lambert de Vaugirard church is a church located on rue Gerbert in the 15th arrondissement of Paris.,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Lambert_de_Vaugirard,Church,48.839644,2.29825
Église Saint-Philippe du Roule,Église Saint-Philippe-du-Roule,"The Église Saint-Philippe-du-Roule is a Roman Catholic church located at 154 Rue du Faubourg-Saint-Honoré in the 8th arrondissement of Paris. Resembling a Roman temple. it was built in the style of Neoclassicism between 1774 and 1784 by architect Jean-François Chalgrin, best known for his design of the Arc de Triomphe. It was enlarged in 1845 by the architects Étienne-Hippolyte Godde and Victor Baltard.",https://en.wikipedia.org/wiki/%C3%89glise_Saint-Philippe-du-Roule,Church,,
Église Saint-Pierre-de-Montrouge,Église Saint-Pierre de Montrouge,"The Saint-Pierre-de-Montrouge church is a parish church built in the second half of the 19th century to the plans of Émile Vaudremer at 82, avenue du Général-Leclerc in the 14th arrondissement of Paris (Petit-Montrouge district).",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre_de_Montrouge,Church,48.82861,2.32694
Église Saint-Pierre-du-Gros-Caillou,Église Saint-Pierre-du-Gros-Caillou,"The Saint-Pierre-du-Gros-Caillou Catholic church is located at 92, rue Saint-Dominique in the 7th arrondissement of Paris (France).",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre-du-Gros-Caillou,Church,48.859539,2.30525
Église Saint-Serge,Institut Saint-Serge,"The Saint-Serge Institute of Orthodox Theology (ITO), or simply Institut Saint-Serge, is a private higher education establishment outside of a contract, located in Paris, in the Combat district of the 19th arrondissement.",https://fr.wikipedia.org/wiki/Institut_Saint-Serge,Historic Site,48.883328,2.383674
Église Saint-Augustin,Église Saint-Augustin,,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Augustin,Historic Site,,
Église Sainte-Odile,Sainte-Odile,Saint Odile of Hohenburg gave her name to several places or religious buildings:,https://fr.wikipedia.org/wiki/Sainte-Odile,Historic Site,,
Église Saint-François Xavier,Église Saint-François-Xavier,,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Fran%C3%A7ois-Xavier,Historic Site,,
Église Saint-Honoré d'Eylau,Paroisse Saint-Honoré d'Eylau,The Saint-Honoré d'Eylau parish is a Catholic parish in the 16th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Paroisse_Saint-Honor%C3%A9_d%27Eylau,Historic Site,48.8684,2.28608
Église Saint-Pierre de Montmartre,Église Saint-Pierre de Montmartre,"The Saint-Pierre de Montmartre church is a Roman Catholic parish church located in the 18th arrondissement of Paris, at the top of the Montmartre hill, at no. 2 rue du Mont-Cenis, west of the Sacré-Cœur basilica.",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Pierre_de_Montmartre,Church,48.886667,2.342028
Église Saint-Denis-du-Saint-Sacrement,Église Saint-Denys-du-Saint-Sacrement,"The Saint-Denys-du-Saint-Sacrement church is located at 68 ter, rue de Turenne, in the 3rd arrondissement of Paris. The neoclassical architecture and decoration are typical of the early 19th century.",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Denys-du-Saint-Sacrement,Church,48.85997,2.36523
Église Saint Jean-Baptiste de Belleville,Église Saint-Jean-Baptiste de Belleville,"The Saint-Jean-Baptiste church in Belleville is one of the first churches of neo-Gothic architecture built in Paris. Located at 139 rue de Belleville, in the 19th arrondissement of Paris, it was built between 1854 and 1859.",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_de_Belleville,Church,48.875669,2.389296
Église Saint-Jean-Baptiste de Grenelle,Église Saint-Jean-Baptiste de Grenelle,"The Saint-Jean-Baptiste de Grenelle church is a church in the 15th arrondissement of Paris. The bell tower surmounting the church, of medieval neo-Gothic spirit, contrasts with the antique inspiration of the rest of the building and gives it its unique appearance.",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Jean-Baptiste_de_Grenelle,Church,48.843194444444,2.2925833333333
Église Sainte-Marie des Batignolles,Église Sainte-Marie des Batignolles,"The Sainte-Marie des Batignolles church is a religious building located 77 place du Docteur-Félix-Lexigeois, in the current 17th arrondissement of Paris, in the Batignolles district.",https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Marie_des_Batignolles,Church,48.886806,2.317917
Eglise Suédoise (Svenska Kirkan),Sven Lagerbring,"Sven Lagerbring (originally Sven Bring; after being knighted, he wrote his name Sven Lager Bring), born February 24, 1707 in Klinta (Bosjökloster) and died December 5, 1787 in Lund, was a Swedish professor and historian.",https://fr.wikipedia.org/wiki/Sven_Lagerbring,Historic Site,,
Église Notre-Dame de Lorette,Église Notre-Dame-de-Lorette,,https://fr.wikipedia.org/wiki/%C3%89glise_Notre-Dame-de-Lorette,Historic Site,,
Jardin Catherine Labouré,Jardin Catherine-Labouré,"The Jardin Catherine-Labouré is a park of about 7,000 square metres in Paris's Seventh Arrondissement, on Rue Babylone. This garden with grapevines and ornamental berries was the potager of the convent of the Daughters of Charity since 1633 and has been open to the public since 1977. There is a community garden along with an arbor-covered pathway.",https://en.wikipedia.org/wiki/Jardin_Catherine-Labour%C3%A9,Garden,,
Pavillon Paul Delouvrier,Parc de la Villette,"Parc de la Villette is a public park located in the 19th arrondissement of Paris in France. It is located on the site of the former slaughterhouses of La Villette, built in 1867 by decision of Napoleon III and the prefect Haussmann and destroyed in 1974. It extends over 55 hectares including 33 of green spaces, making it the largest green space in the capital, in front of the Tuileries garden (25.5 ha), the Buttes-Chaumont park (25 ha) and the Luxembourg garden (23 ha).",https://fr.wikipedia.org/wiki/Parc_de_la_Villette,Garden,48.893056,2.390833
Place de Rungis,Place de Rungis,Place de Rungis is a street located in the 13th arrondissement of Paris in France.,https://fr.wikipedia.org/wiki/Place_de_Rungis,Historic Site,48.82237,2.34673
Square d'Anvers,Square d'Anvers - Jean-Claude-Carrière,The square d'Anvers - Jean-Claude-Carrière is a square in the 9th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Square_d%27Anvers_-_Jean-Claude-Carri%C3%A8re,Historic Site,48.882194,2.344471
Place Jeanne d'Arc,Place Jeanne-d'Arc,"There are many Place Jeanne-d'Arc in French-speaking countries, the most famous of which are:",https://fr.wikipedia.org/wiki/Place_Jeanne-d%27Arc,Historic Site,,
Place de la Réunion,Place de la Réunion,Place de la Réunion is a place name notably worn by:,https://fr.wikipedia.org/wiki/Place_de_la_R%C3%A9union,Historic Site,,
Musée National Picasso,Musée Picasso (Paris),The Picasso Museum is the French national museum dedicated to the life and work of Pablo Picasso as well as the artists who were linked to him.,https://fr.wikipedia.org/wiki/Mus%C3%A9e_Picasso_(Paris),Museum,48.859731,2.362439
Musée Guimet (Musée National des Arts Asiatiques),Musée national des Arts asiatiques - Guimet,"The National Museum of Asian Arts, commonly called the Guimet Museum, is an Asian arts museum located in Paris, 6, place d'Iéna, in the 16th arrondissement. It was inaugurated in 1889 under the initial name of Museum of Religions. It has been a public administrative establishment since December 26, 2003.",https://fr.wikipedia.org/wiki/Mus%C3%A9e_national_des_Arts_asiatiques_-_Guimet,Museum,48.86528,2.29389
Artcurial,Artcurial,Artcurial is a French auction house which has its headquarters at the historic Hôtel Marcel Dassault in Paris.,https://en.wikipedia.org/wiki/Artcurial,Historic Site,,
Fondation Henri Cartier-Bresson,Henri Cartier-Bresson Foundation,"The Henri Cartier-Bresson Foundation (French: Fondation Henri Cartier-Bresson), also known as Fondation HCB, is an art gallery and non-profit organisation in Paris that was established to preserve and show the work of Henri Cartier-Bresson and Martine Franck, and show the work of others. It was set up in 2003 by the photographer and painter Cartier-Bresson, his wife, also a photographer, Franck, and their daughter, Mélanie Cartier-Bresson.",https://en.wikipedia.org/wiki/Henri_Cartier-Bresson_Foundation,Art Gallery,,
Musée National du Moyen-Âge,Musée de Cluny,"The Musée de Cluny (French pronunciation: ), officially Musée de Cluny-Musée National du Moyen Âge (lit. 'Cluny Museum-National Museum of the Middle Ages'), is a museum of medieval art in Paris. It is located in the 5th arrondissement of Paris, bordered by square Samuel-Paty to the south, boulevard Saint-Michel to the west, boulevard Saint-Germain to the north, and rue Saint-Jacques to the east.",https://en.wikipedia.org/wiki/Mus%C3%A9e_de_Cluny,Museum,,
Cité de l'Architecture et du Patrimoine,Cité de l'Architecture et du Patrimoine,"The Cité de l'architecture et du patrimoine (French pronunciation: , Architecture and Heritage City) is a museum of architecture and monumental sculpture located in the Palais de Chaillot (Trocadéro), in Paris, France. Its permanent collection is also known as Musée national des monuments français (National Museum of French Monuments). It was established in 1879 by Eugène Viollet-le-Duc. The museum was renovated in 2007 and covers 9,000 square meters of gallery space. As a whole, the Cité de l'architecture et du patrimoine spreads across 22,000 square meters, which makes it the largest museum devoted to architecture in the world, even surpassing the Design Museum of London.",https://en.wikipedia.org/wiki/Cit%C3%A9_de_l%27Architecture_et_du_Patrimoine,Monument / Landmark,,
Pelouse de Reuilly,Pelouse de Reuilly,"The Reuilly lawn, also called Reuilly clearing, is an open space of approximately 25 hectares located at the western end of the Bois de Vincennes, in the 12th arrondissement of Paris. It is the property of the municipality of Paris.",https://fr.wikipedia.org/wiki/Pelouse_de_Reuilly,Historic Site,48.83,2.40689
Viaduc des Arts,Viaduc des Arts,"The Viaduc des Arts is a converted train line located in the 12th arrondissement of Paris which is now both a series of workshops for highly skilled artisans and, on the top level, the Promenade Plantée, a linear park. It was formerly the ""Viaduc de Bastille,"" for the trains of the Paris-Bastille-Vincennes line.",https://en.wikipedia.org/wiki/Viaduc_des_Arts,Park,,
Église Orthodoxe Serbe,Église orthodoxe serbe,The Serbian Orthodox Church (Serbian: Српска православна црква / Srpska pravoslavna crkva) or Patriarchate of Serbia is a canonical autocephalous jurisdiction of the Orthodox Church.,https://fr.wikipedia.org/wiki/%C3%89glise_orthodoxe_serbe,Church,,
Salle Saint Bruno,Bruno de La Salle,"Bruno de La Salle is a French storyteller, singer, author, collector, director, organizer of storytelling festivals, teacher and radio producer born October 11, 1943 in Toulon, founder and artistic director of the Contemporary Conservatory of Oral Literature (CLiO), in Chartres then Vendôme.",https://fr.wikipedia.org/wiki/Bruno_de_La_Salle,Historic Site,,
Chapelle Notre-Dame de la Médaille Miraculeuse,Chapel of Our Lady of the Miraculous Medal,"The Chapel of Graces of the Miraculous Virgin (French: La Chapelle du Grâce de Sainte Vierge Miraculeuse) or informally the Chapel of Our Lady of the Miraculous Medal, is a Roman Catholic Marian shrine located in Paris, France. It is dedicated to the Blessed Virgin Mary under the Marian title the Virgin of Miracles.",https://en.wikipedia.org/wiki/Chapel_of_Our_Lady_of_the_Miraculous_Medal,Historic Site,,
Place Gambetta,Liste d'odonymes se référant à Léon Gambetta,"Many cities have named a public road (avenue, esplanade, square, street, bridge, etc.) in homage to Léon Gambetta (1838-1882), French political figure of the Third Republic.",https://fr.wikipedia.org/wiki/Liste_d%27odonymes_se_r%C3%A9f%C3%A9rant_%C3%A0_L%C3%A9on_Gambetta,Bridge,,
Place du Marché Saint-Honoré,Place du Marché-Saint-Honoré,"Place du Marché-Saint-Honoré is a street in the 1st arrondissement of Paris, France, known for hosting a contemporary work by Catalan architect Ricardo Bofill at its center.",https://fr.wikipedia.org/wiki/Place_du_March%C3%A9-Saint-Honor%C3%A9,Historic Site,48.866966,2.331988
Place du Palais Royal,Palais-Royal,"The Palais-Royal (French: ) is a former French royal palace located on Rue Saint-Honoré in the 1st arrondissement of Paris. The screened entrance court faces the Place du Palais-Royal, opposite the Louvre. Originally called the Palais-Cardinal, it was built for Cardinal Richelieu from about 1633 to 1639 by architect Jacques Lemercier. Richelieu bequeathed it to Louis XIII, before Louis XIV gave it to his younger brother, Philippe I, Duke of Orléans. As the succeeding Dukes of Orléans made such extensive alterations over the years, almost nothing remains of Lemercier's original design.",https://en.wikipedia.org/wiki/Palais-Royal,Historic Site,,
Place des Abbesses,Place des Abbesses,"Place des Abbesses is located on the Butte Montmartre, in the Clignancourt district of the 18th arrondissement of Paris.",https://fr.wikipedia.org/wiki/Place_des_Abbesses,Historic Site,48.884413,2.338516
Place de l’Étoile,Place Charles de Gaulle,"The Place Charles de Gaulle (French: ), historically known as the Place de l'Étoile (French: ), is a large road junction in Paris, France, the meeting point of twelve straight avenues (hence its historic name, which translates as ""Square of the Star"") including the Champs-Élysées. It was renamed in 1970, following the death of former President Charles de Gaulle. It is still often referred to by its original name; the nearby Métro and RER station retains the designation Charles de Gaulle–Étoile. Paris's Axe historique (""historical axis"") cuts through the Arc de Triomphe, which stands at the centre of the Place Charles de Gaulle.",https://en.wikipedia.org/wiki/Place_Charles_de_Gaulle,Historic Site,,
Place de Breteuil,Place de Breteuil,"Place de Breteuil is a square in the 7th and 15th arrondissements of Paris, France.",https://fr.wikipedia.org/wiki/Place_de_Breteuil,Historic Site,48.847236,2.31176
Basilique Sainte-Clotilde,"Sainte-Clotilde, Paris","The Basilica of Saint Clotilde (Basilique Ste-Clotilde) is a basilica church located on the Rue Las Cases, in the 7th arrondissement of Paris. It was constructed between 1846 and 1856, and is the first example of a church in Paris in the neo-Gothic style.","https://en.wikipedia.org/wiki/Sainte-Clotilde,_Paris",Church,,
Place Saint-Fargeau,Place Saint-Fargeau,Place Saint-Fargeau is a street located in the Saint-Fargeau district of the 20th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_Saint-Fargeau,Historic Site,48.871605,2.403967
Église Saint-Eustache,"Saint-Eustache, Paris","The Church of St. Eustache, Paris (French: église Saint-Eustache, pronounced ), is a church in the 1st arrondissement of Paris. The present building was built between 1532 and 1633.","https://en.wikipedia.org/wiki/Saint-Eustache,_Paris",Church,,
Place des Victoires,Place des Victoires,"The Place des Victoires (French pronunciation: ; English: Victory Square, lit. 'Square of Victories') is a circular square in central Paris, located a short distance northeast of the Palais-Royal and straddling the border between the 1st and the 2nd arrondissements. The Place des Victoires is at the confluence of six streets: the Rue de la Feuillade, Rue Vide-Gousset, Rue d'Aboukir, Rue Étienne-Marcel, Rue Croix-des-Petits-Champs and Rue Catinat.",https://en.wikipedia.org/wiki/Place_des_Victoires,Historic Site,,
Place de Clichy,Place de Clichy,"The Place de Clichy (French pronunciation: ), also known as the Place Clichy, is a city square situated in the northwestern quadrant of Paris. It is formed by the intersection of the Boulevard de Clichy, the Avenue de Clichy, the Rue de Clichy, the Boulevard des Batignolles, and the Rue d'Amsterdam.",https://en.wikipedia.org/wiki/Place_de_Clichy,Historic Site,,
Cour de Rome,Rue de Rome,"Rue de Rome, Place de Rome and Cour de Rome are the names carried by several roads in the following cities:",https://fr.wikipedia.org/wiki/Rue_de_Rome,Historic Site,,
Place de la République,Place de la République,"The Place de la République (French pronunciation: ; English: Republic Square; known until 1879 as the Place du Château d'Eau, ) is a square in Paris, located on the border between the 3rd, 10th and 11th arrondissements. The square has an area of 3.4 ha (8.4 acres). Named after the First, Second and Third Republics, it contains a monument, the Monument à la République, which includes a statue of the personification of France, Marianne.",https://en.wikipedia.org/wiki/Place_de_la_R%C3%A9publique,Monument / Landmark,,
Street Art - Rue Dénoyez,Art urbain à Paris,"Born in the United States, urban art or street art emerged in Paris from the end of the 1960s. First confined to urban wastelands, the metro and the abandoned spaces of working-class neighborhoods in the North-East and South-East of the capital, it gradually took over all the districts of Paris, before becoming institutionalized from the 2010s. Originally clandestine and masculine, it gradually gained visibility, became more feminine and internationalizes. Supported by the Paris City Hall, the gallery owner Mehdi Ben Cheikh and the collector Nicolas Laugero Lasserre or collectives such as the Urban Art Federation, Le M.U.R, Art Azoï, it is now exhibited in galleries (Itinerrance, Mathgoth), museums (Art42, the Banksy museum or Fluctuart) and brings together ephemeral works (Tour 13 or Street Art Avenue) or long-lasting (Boulevard 13).",https://fr.wikipedia.org/wiki/Art_urbain_%C3%A0_Paris,Museum,,
Espace Culturel Louis Vuitton,LVMH - Moët Hennessy Louis Vuitton,"LVMH Moët Hennessy Louis Vuitton SE is a French group of companies, founded in 1987 by Alain Chevalier and Henry Racamier, which is today the world number one in the luxury industry in terms of turnover.",https://fr.wikipedia.org/wiki/LVMH_-_Mo%C3%ABt_Hennessy_Louis_Vuitton,Historic Site,,
Église Saint-Nicolas du Chardonnet,Église Saint-Nicolas-du-Chardonnet,"The Saint-Nicolas-du-Chardonnet church, located in Paris at 23 rue des Bernardins, at the corner of rue Saint-Victor in the 5th arrondissement of Paris, in the Saint-Victor district, next to the Maison de la Mutualité, was rebuilt in the second half of the 17th century on the site of a 13th century building, and completed in 1937.",https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Nicolas-du-Chardonnet,Church,48.8491678,2.350278
Place Cambronne,Cambronne station,"Cambronne (French pronunciation: ) is an elevated station on Line 6 of the Paris Métro. Located in the 15th arrondissement, it is named after the nearby Place Cambronne and Rue Cambronne, which were in turn named after Viscount Pierre Cambronne (1770–1842), a general at the Battle of Waterloo. The station is at the location of the former Barrière de l'École-Militaire, a gate built for the collection of taxes as part of the Wall of the Farmers-General; the gate was built between 1784 and 1788 before it was demolished prior to 1859 amid Haussmann's renovation of Paris.",https://en.wikipedia.org/wiki/Cambronne_station,Historic Site,,
Paroisse Saint François de Molitor,Église Saint-François de Molitor,The Saint-François de Molitor church is a building in the 16th arrondissement and the only Catholic place of worship in the Saint-François-de-Molitor parish.,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-Fran%C3%A7ois_de_Molitor,Church,48.845417,2.260028
Au coeur des Batignolles,17e arrondissement de Paris,"The 17th arrondissement of Paris is one of the twenty arrondissements of Paris. It is located on the right bank of the Seine to the northwest of the city. It is bounded to the west by Neuilly-sur-Seine and Levallois-Perret, to the south by the 16th and 8th arrondissements, to the east by the 18th arrondissement and to the north by Clichy-la-Garenne and Saint-Ouen-sur-Seine.",https://fr.wikipedia.org/wiki/17e_arrondissement_de_Paris,Historic Site,48.884353,2.322069
Institut Suédois | Svenska Institutet i Paris,Lennart Nilsson,"Lars Olof Lennart Nilsson (born August 24, 1922 in Strängnäs and died January 28, 2017 in Stockholm) is a Swedish photographer, pioneer of medical photography.",https://fr.wikipedia.org/wiki/Lennart_Nilsson,Historic Site,,
Square Boucicaut,Square Boucicaut,Square Boucicaut is a square in the 7th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Square_Boucicaut,Historic Site,48.85138,2.32581
Place de la Madeleine,"La Madeleine, Paris","The Church of Saint Mary Magdalene (French: église Sainte-Marie-Madeleine ), less formally called La Madeleine (), is a Catholic parish church on Place de la Madeleine in the eighth arrondissement of Paris. It was planned by Louis XV as the focal point of the new Rue Royal, leading to the new Place Louis XV, the present Place de la Concorde. It was dedicated in 1764 by Louis XV, but work was halted due to the French Revolution. Napoleon Bonaparte had it redesigned in the Neoclassical style to become a monument to the glory of his armies. After his downfall in 1814, construction as a church resumed, but it was not completed until 1842. The building is surrounded on all four sides by Corinthian columns. The interior is noted for its frescoes on the domed ceiling, and monumental sculptures by François Rude, Carlo Marochetti and other prominent 19th-century French artists.","https://en.wikipedia.org/wiki/La_Madeleine,_Paris",Monument / Landmark,,
Porte d'Auteuil,Porte d'Auteuil,The Porte d'Auteuil is a gateway to Paris located in the 16th arrondissement in the immediate vicinity of the Auteuil district.,https://fr.wikipedia.org/wiki/Porte_d%27Auteuil,Historic Site,48.847939,2.257608
Porte Molitor,City gates of Paris,"While Paris is encircled by the Boulevard Périphérique (Paris ring road), the city gates of Paris (French: portes de Paris) are the access points to the city for pedestrians and other road users. As Paris has had successive ring roads through the centuries, city gates are found inside the modern-day Paris.",https://en.wikipedia.org/wiki/City_gates_of_Paris,Historic Site,,
Porte de la Muette,Porte de la Muette,"Porte de la Muette is a gate in Paris, France, located in the 16th arrondissement, on the edge of the Bois de Boulogne.",https://fr.wikipedia.org/wiki/Porte_de_la_Muette,Historic Site,48.86306,2.26806
Église Saint Éloi,Église Saint-Éloi,,https://fr.wikipedia.org/wiki/%C3%89glise_Saint-%C3%89loi,Historic Site,,
Place du Châtelet,Place du Châtelet,"The Place du Châtelet (French pronunciation: ) is a public square in Paris, on the right bank of the river Seine, on the borderline between the 1st and 4th arrondissements. It lies at the north end of the Pont au Change, a bridge that connects the Île de la Cité, near the Palais de Justice and the Conciergerie, to the right bank. The closest métro station is Châtelet",https://en.wikipedia.org/wiki/Place_du_Ch%C3%A2telet,Bridge,,
Pont de l'Alma,Pont de l'Alma,"The Pont de l'Alma (French pronunciation: ; English: Alma Bridge) is a road bridge in Paris, France, across the Seine. It was named to commemorate the Battle of Alma during the Crimean War, in which the Ottoman-Franco-British alliance achieved victory over the Russian army in 1854. The bridge is known for being the site of the car crash that caused the death of Diana, Princess of Wales, in 1997.",https://en.wikipedia.org/wiki/Pont_de_l%27Alma,Bridge,,
Place Victor et Hélène Basch,Place Victor-et-Hélène-Basch,"Place Victor-et-Hélène-Basch, formerly but still sometimes referred to in common usage as “place d’Alésia”, is a square in the 14th arrondissement of Paris.",https://fr.wikipedia.org/wiki/Place_Victor-et-H%C3%A9l%C3%A8ne-Basch,Historic Site,48.82792,2.32681
Marché Saint-Pierre,Marché Saint-Pierre,Marché Saint-Pierre is the name of several places:,https://fr.wikipedia.org/wiki/March%C3%A9_Saint-Pierre,Historic Site,,
Place des Vins de France,Place des Vins-de-France,Place des Vins-de-France is a street located in the Bercy district of the 12th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_des_Vins-de-France,Historic Site,48.832169,2.387402
Place de Mexico,Place de Mexico,Place de Mexico is a square in the 16th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_de_Mexico,Historic Site,48.865491,2.283295
Square Saint-Médard,Square Miss.Tic,"Square Miss.Tic is a square in the 5th arrondissement of Paris in homage to the artist, poet and visual artist Miss.Tic (1956-2022).",https://fr.wikipedia.org/wiki/Square_Miss.Tic,Historic Site,48.8396143,2.3502696
Pavillon de l'Arsenal,Pavillon de l'Arsenal,"The Pavillon de l'Arsenal (French pronunciation: ) is the Paris Center for architecture and urbanism, a center for urban planning and museum located in the 4th arrondissement at 21, boulevard Morland, Paris, France. It is open daily except Mondays; admission is free.",https://en.wikipedia.org/wiki/Pavillon_de_l%27Arsenal,Museum,,
Place Édith Piaf,Place Édith-Piaf,Place Édith-Piaf is a street located in the Saint-Fargeau district of the 20th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_%C3%89dith-Piaf,Historic Site,48.864799,2.405137
Porte de Montreuil,Porte de Montreuil,"The Montreuil Gate is one of seventeen gates built within the walls of Thiers in the mid-19th century to protect Paris, France.",https://fr.wikipedia.org/wiki/Porte_de_Montreuil,Historic Site,48.85361,2.41056
Place du Commerce,Commerce station (Paris Métro),"Commerce station (French pronunciation:  ⓘ) is a station on line 8 of the Paris Métro in the Rue du Commerce, at the intersection with the Place du Commerce in the 15th arrondissement.",https://en.wikipedia.org/wiki/Commerce_station_(Paris_M%C3%A9tro),Historic Site,,
La Maison D'emile Zola,Maison d'Émile Zola,"Émile Zola's house is located in Médan (Yvelines), 26, rue Pasteur.",https://fr.wikipedia.org/wiki/Maison_d%27%C3%89mile_Zola,Historic Site,48.955683,1.995648
Square des Saint Simoniens,Square des Saint-Simoniens,The Square des Saint-Simoniens is a green space in the 20th arrondissement of Paris in the Saint-Fargeau district.,https://fr.wikipedia.org/wiki/Square_des_Saint-Simoniens,Historic Site,48.8707277,2.3964894
Trinity Church,Trinity Church,,https://en.wikipedia.org/wiki/Trinity_Church,Historic Site,,
Place Octave Chanute,Place Octave-Chanute,Place Octave-Chanute is a street located in the Saint-Fargeau district of the 20th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_Octave-Chanute,Historic Site,48.866183,2.406304
Passerelle Léopold-Sédar-Senghor,Passerelle Léopold-Sédar-Senghor,"Passerelle Léopold-Sédar-Senghor, formerly known as Passerelle Solférino (or Pont de Solférino), is a footbridge over the River Seine between the 1st and 7th arrondissements of Paris. Opened in 1999, it was renamed after Léopold Sédar Senghor in 2006. The bridge owed its architect, Marc Mimram, the Prix de l'Équerre d'Argent the year of its opening.",https://en.wikipedia.org/wiki/Passerelle_L%C3%A9opold-S%C3%A9dar-Senghor,Bridge,,
Place Vauban,Place Vauban,Place Vauban is a square in the 7th arrondissement of Paris.,https://fr.wikipedia.org/wiki/Place_Vauban,Historic Site,48.8534,2.312354
Square Alboni,Square Alboni,"Square Alboni (or Square de l'Alboni) is a partly private road in the 16th arrondissement of Paris, France.",https://fr.wikipedia.org/wiki/Square_Alboni,Historic Site,48.858158,2.286782
Temple de Ganesh,Bhaktapur,"Bhaktapur - from bhakta, devotee and pura, the city - or Bhadgaon - or Khwopa in Newari - is a city in Nepal located in the Bagmati zone, 13 kilometers east of Kathmandu and at 1,401 meters above sea level. In the 2011 census, the town had 81,748 inhabitants.",https://fr.wikipedia.org/wiki/Bhaktapur,Historic Site,27.672,85.428
Jardin du Palais Royal,Palais-Royal,"The Palais-Royal (French: ) is a former French royal palace located on Rue Saint-Honoré in the 1st arrondissement of Paris. The screened entrance court faces the Place du Palais-Royal, opposite the Louvre. Originally called the Palais-Cardinal, it was built for Cardinal Richelieu from about 1633 to 1639 by architect Jacques Lemercier. Richelieu bequeathed it to Louis XIII, before Louis XIV gave it to his younger brother, Philippe I, Duke of Orléans. As the succeeding Dukes of Orléans made such extensive alterations over the years, almost nothing remains of Lemercier's original design.",https://en.wikipedia.org/wiki/Palais-Royal,Historic Site,,
Place Victor Hugo,Liste d'odonymes se référant à Victor Hugo,"Many cities have named a public road (avenue, esplanade, square, street, bridge, etc.) Victor-Hugo in honor of the French writer.",https://fr.wikipedia.org/wiki/Liste_d%27odonymes_se_r%C3%A9f%C3%A9rant_%C3%A0_Victor_Hugo#Places,Bridge,,
Église Sainte-Marguerite,Église Sainte-Marguerite,,https://fr.wikipedia.org/wiki/%C3%89glise_Sainte-Marguerite,Historic Site,,
Tombe de Jim Morrison,Jim Morrison,"James Morrison, known as Jim Morrison, born December 8, 1943 in Melbourne (Florida) and died July 3, 1971 in Paris (France), is an American singer and poet, co-founder of the American rock group The Doors, of which he was a member from 1965 until his death.",https://fr.wikipedia.org/wiki/Jim_Morrison,Historic Site,,
