name,url,short_description,ticket_price,ticket_price_conditions,opening_hours,payment_methods,address,visiting_services,ticket_price_raw
Château de Maisons,https://www.chateau-maisons.fr/,"Entre Paris et Versailles, visitez le château de Maisons, chef-d’œuvre architectural du Grand Siècle.",9.0,Gratuit pour les - de 26 ans,"Du 16 mai au 15 septembre
10h - 18h
Du 14 novembre au 2 mars 2026 inclus 
10h - 18h
Du 4 mars au 15 mai 2026
10h-12h30 et 14h-17h
 À noter : Le monument est fermé le mardi toute l'année. 
Dernier accès au monument 30 minutes avant la fermeture.
Fermetures annuelles les 1er janvier, 1er mai et 25 décembre.
Premier dimanche du mois de décembre 2025 à mars 2026 - Gratuite",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"2, avenue Carnot, 78600 Maisons-Laffitte","Les animaux de compagnie ne sont pas autorisés, sauf les chiens accompagnateurs | Les poussettes ne sont pas autorisées dans le monument | En application des consignes Vigipirate, tout accès au site est précédé d’une fouille visuelle des sacs | L’accès au site n’est pas autorisé avec des valises ou gros sacs et le monument ne prend aucun bagage en consigne | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Poubelles pour déchets sanitaires | Toilettes | Librairie-boutique",Tarif : 9 €
Abbaye de Montmajour,https://www.abbaye-montmajour.fr/,"Au cœur du pays d'Arles, visitez l'abbaye de Montmajour, fondée en 948 par des moines bénédictins.",7.0,Gratuit pour les - de 26 ans,"Du 1er avril au 31 mai
10h - 17h
Dernier accès une heure avant la fermeture du monument
Du 1er juin au 30 septembre
10h - 18h15
Dernier accès au monument à 17h
Du 1er octobre au 31 mars
10h - 17h 
Fermée le lundi
Dernier accès au monument une heure avant la fermeture
Fermeture les 1er janvier, 1er mai, 11 novembre et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"route de Fontvieille, 13200 Arles","Tenues correctes (torse nu, pieds nus et maillot de bain interdits) | Poussettes autorisées | Chiens non autorisés (sauf chiens d'assistance) | Trépied pour photos et drone interdits | En cas d'orage, pluie ou vent violent, fortes chaleurs les espaces extérieurs (nécropole, tour, terrasse) sont susceptibles d'être fermés. | Sol accidenté | Nombreuses marches : 125 marches pour accéder à la tour, 40 marches pour accéder à l'ermitage Saint Pierre. | L'abbaye ne dispose pas de consignes, les sacs à dos et valises sont interdits dans l'enceinte du monument. | Les couteaux et aérosols sont interdits. | En période de forte chaleur pensez à venir avec une bouteille d'eau (un point d'eau est disponible sur le parcours de visite) et un chapeau. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 7 €
Abbaye du Thoronet,https://www.le-thoronet.fr/,"Visitez le Thoronet, l'une des plus remarquables abbayes issues de l'ordre de Cîteaux.",9.0,Gratuit pour les - de 26 ans,"L'abbaye sera exceptionnellement fermée au public le 16 janvier 2026, merci de votre compréhension.
Du 1er avril au 30 septembre
10h - 18h30
Du 1er octobre au 31 mars
10h - 13h et 14h - 17h
Dernier accès au monument, 45 minutes avant la fermeture.
À noter : Fermeture anticipée les 24 et 31 décembre à 16h.
Fermeture les 1er janvier, 1er mai, 1er novembre, 11 novembre et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"RD 79, 83340 Le Thoronet","Les chiens ne sont pas autorisés à entrer (y compris dans des sacs spécifiques). Seuls les chiens guides d'aveugle ou de thérapie sont acceptés (sur présentation d'une attestation). | Service de restauration rapide au kiosque de l’abbaye (parking) | Parking non surveillé | Aire de pique-nique à côté du parking visiteurs | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. 
En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 9 €
Panthéon,https://www.paris-pantheon.fr/,"Sur la montagne Sainte-Geneviève à Paris, visitez le Panthéon, chef-d'œuvre de l'architecte Soufflot.",13.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 septembre
10h - 18h30
Du 1er octobre au 31 mars
10h - 18h
À noter : dernier accès au monument 45min avant la fermeture.
Ouvert tous les jours de la semaine (voir onglet fermetures)",espèces | cartes bancaires | chèque | chèque Culture (UP uniquement) - format papier uniquement (pas de dématérialisé) | chèque-vacances (ANCV) - format papier uniquement (pas de dématérialisé) | chèque Lire (UP uniquement en boutique),"Place du Panthéon, 75005 Paris","Le monument ne dispose pas de consigne à bagage, ni de vestiaire. Seuls les sacs à dos standards sont acceptés. | Les casques ne sont pas autorisés. | Les batteries ne sont pas autorisées (trottinettes, etc.) | Accès rampe PMR extérieure, et élévateur intérieur donnant accès à l''intégralité de la nef. | Poussettes autorisées. | Trottinettes, rollers, skateboards interdits. | Nourritures et boissons interdites. | Chiens non autorisés dans l'enceinte des grilles du Panthéon à l'exception des chiens guides et chiens d'assistances. | Photographies personnelles autorisées (usage non-commercial uniquement), trépieds interdits. | Drones interdits. | Les photographies à but professionnels (LinkedIn etc...), photographies de classes, photographies de mariages et d'évènements sont interdites à l'intérieur du monument et une autorisation est nécessaire pour les extérieurs du Panthéon. | Tournages sur autorisation uniquement.",Tarif : 13 €
Château de Châteaudun,https://www.chateau-chateaudun.fr/,"Visitez la résidence d'un fidèle compagnon d'armes de Jeanne d'Arc et flânez dans les jardins suspendus, uniques en région Centre !",7.0,Gratuit pour les - de 26 ans,"Fermeture exceptionnelle le jeudi 29 janvier 2026.
 Du 5 septembre au 30 avril
10h - 12h30 et 14h - 17h30
Du 2 mai au 4 septembre
10h - 13h et 14h - 18h
À noter : dernier accès au monument, une heure avant la fermeture.
Fermeture les 1er janvier, 1er mai et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Place Jehan de Dunois, 28200 Châteaudun","Interdit aux chiens sauf aux chiens de guide et d’assistance. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Librairie-boutique qui propose un large éventail de livres et d’objets pour les grands et les petits. | Accès possible uniquement à certaines salles du rez-de-chaussée pour les PMR en fauteuil manuel. | Toilettes et toilettes PMR. | Parking et parking PMR.",Tarif : 7 €
Villa Savoye,https://www.villa-savoye.fr/,"Près de Paris, visitez la villa Savoye à Poissy, manifeste moderniste signé Le Corbusier.",9.0,Gratuit pour les - de 26 ans,"Du 2 mai au 31 août 
10h - 18h 
Fermé le lundi
Du 1er septembre au 30 avril 
10h - 17h 
Fermé le lundi 
À noter : dernier accès 30 minutes avant la fermeture 

Fermé les 1er mai, 25 décembre et 1er janvier 
Premier dimanche du mois - gratuit de novembre 2026 jusqu'à mars 2026.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"82, rue de Villiers, 78300 Poissy","Les animaux de compagnie ne sont pas autorisés, sauf les chiens accompagnateurs. | Les poussettes ne sont pas autorisées dans le monument. | En application des consignes Vigipirate, tout accès au site est précédé d’une fouille visuelle des sacs. | L’accès au site n’est pas autorisé avec des valises ou gros sacs et le monument ne prend aucun bagage en consigne. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Distributeurs à pédale de gel hydroalcoolique | Poubelles pour déchets sanitaires | Toilettes | Librairie-boutique",Tarif : 9 €
Château de Fougères-sur-Bièvre,https://www.fougeres-sur-bievre.fr/,Découvrez l’image du château fort idéal avec son donjon et sa courtine d’entrée à mâchicoulis.,7.0,Gratuit pour les - de 26 ans.,"Fermeture exceptionnelle le jeudi 8 janvier 2026.
 Du 5 septembre au 30 avril 
10h – 12h30 et 14h – 17h 
Fermé le mardi
Du 2 mai au 4 septembre
9h30 – 12h30 et 14h – 18h 
Fermeture les 1er janvier, 1er mai et 25 décembre.
Dernier accès 60 mn avant la fermeture.
Fermeture exceptionnelle à 16h les 25 décembre et 1er janvier.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),Le Controis-en-Sologne,"Librairie-boutique qui propose un large éventail de livres et d’objets pour les petits et les grands | Toilettes | Parking | Parking PMR | Parking à vélos | Aire de pique-nique en libre accès à l'extérieur du monument | Interdit aux animaux  sauf chiens guide d’assistance | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Poussettes déconseillées, privilégier le porte bébé",Tarif : 7 €
Château de Puyguilhem,https://www.chateau-puyguilhem.fr/,"À 34 kilomètres de Périgueux, découvrez l'élégante silhouette Renaissance du château de Puyguilhem.",7.0,Gratuit pour les - de 26 ans,"Du 1er au 30 avril
10h - 12h30 et 14h - 17h30
Fermé le lundi
Du 2 mai au 31 août
10h - 12h30 et 14h - 18h30 
Du 1er au 30 septembre
10h - 12h30 et 14h - 17h30
Fermé le lundi
Du 1er octobre au 31 mars
10h - 12h30 et 14h - 17h30
Fermé le lundi et le mardi
Attention : dernier accès au monument une heure avant la fermeture.
Fermeture les 1er janvier, 1er mai, 1er et 11 novembre, 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"891 rue Mondot de la Marthonie, 24530 VILLARS","Visite du parc libre. | Chiens acceptés à l'extérieur et tenus en laisse. | Poussettes non acceptées au 1er étage des logis Renaissance. | Dans la cadre d'une animation programmée à heure fixe, veillez à vous présenter en billetterie au moins 15 minutes avant le début de l'animation. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 7 €
Château d'If,https://www.chateau-if.fr/,"Au large de Marseille, découvrez le château d'If et son panorama unique.",7.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 septembre
10h - 18h
Du 1er octobre au 31 mars
10h - 17h
Fermé les lundis
Attention : en cas d'intempéries, le château d'If n'est pas ouvert. 
Fermeture les 1er janvier, 1er mai et 25 décembre.
Mardi 9 décembre, le château d'If sera exceptionnellement fermé de 13h à 15h15.",espèces | cartes bancaires (vivement conseillé) | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"île d'If, 13007 Marseille","Il est interdit de boire de l'alcool, de jeter des pierres sur les goélands et de jeter des pierres des remparts et des terrasses. | Baignade interdite | Les couteaux et aérosols sont interdits | Il n'y a pas de consignes sur l'île. Les valises et gros sacs à dos sont interdits. | L'île d'if est situé au cœur du parc national des calanques, il est interdit de se débarrasser de vos déchets sur l'île. Merci de rapporter vos déchets. | Seul les chiens d'assistance sont autorisés dans le monument. | En période de fortes chaleurs, pensez à prendre de l'eau (un point d'eau est disponible sur le site) et un chapeau. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Terrain assez accidenté. Sol pouvant être glissant : prévoir des chaussures adéquates | Être vigilant quant à la chaleur en saison estivale | Nombreuses marches | Aires de repos | Toilettes | Le site est non accessible aux PMR | Les poussettes ne sont pas autorisées dans l'enceinte du château.",Tarif : 7 €
Tours de La Rochelle,https://www.tours-la-rochelle.fr/,"Visitez les trois tours de La Rochelle, vestiges des fortifications maritimes médiévales.",9.5,Gratuit pour les - de 26 ans,"Du 1er octobre au 31 mars
10h - 12h45 et 14h - 17h30 
Du 1er avril au 30 juin
10h - 12h45 et 14h - 18h30 
Du 1er juillet au 31 août
10h - 18h30
Du 1er au 30 septembre
10h - 12h45 et 14h - 18h30
 La tour Saint-Nicolas est fermée jusqu'à nouvel ordre. Les tours de la Chaîne et de la Lanterne restent ouvertes.
Les tours de La Rochelle sont fermées exceptionnellement le 6 janvier 2026 toute la journée puis du 19 au 23 janvier 2026 inclus. 
Attention : dernier accès au monument 45 minutes avant la fermeture.
Fermeture les 1er janvier, 1er mai et 25 décembre",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV),"Tour de la Chaîne - tour de la Lanterne - tour Saint-Nicolas, Vieux port, Place de la Chaîne, 17000 La Rochelle, , Tél : 05 46 34 11 81, tours.larochelle@monuments-nationaux.fr","Le parcours comprend de nombreuses marches. | Le monument ne dispose pas de toilettes. | Les valises et les gros sacs de randonnée sont interdits. | Les poussettes ne sont pas acceptées dans le circuit de visite mais vous pourrez les déposer dans un endroit sécurisé à l'accueil. | Les animaux ne sont pas autorisés, même dans un sac de transport. | Il est interdit de manger dans le monument. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Le monument n’est pas accessible aux mineurs non accompagnés par un responsable majeur. | Pour les groupes, une réservation à l'avance est nécessaire pour accéder au monument : consultez la page dédiée aux groupes.","Tarif : 9,50 €"
Château de Montal,https://www.chateau-montal.fr/,"À 26 kilomètres de Rocamadour, visitez un joyau de la Renaissance française au décor sculpté unique.",9.0,Gratuit pour les - de 26 ans,"Du 2 mai au 31 août
10h - 12h30 et 14h - 18h30
Du 1er septembre au 30 avril
10h - 12h30 et 14h - 17h30
Fermé le mardi
Attention : dernier accès au monument 1 heure avant la fermeture.
Fermeture les 1er janvier, 1er mai, 1er et 11 novembre, 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"307 allée Jeanne de Balzac, 46400, Saint-Jean Lespinasse","Chiens non autorisés | Poussettes non autorisées au premier étage | Photos autorisées dans le château sans flash | Dans la cadre d'une animation programmée à heure fixe, veillez à vous présenter en billetterie au moins 15 minutes avant le début de l'animation | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 9 €
Château de Pierrefonds,https://www.chateau-pierrefonds.fr/,"Découvrez le château de Pierrefonds, réinventé au XIXe siècle par l'architecte Viollet-le-Duc.",9.0,Gratuit pour les - de 26 ans,"Du 5 septembre au 30 avril
10h - 17h30
Du 2 mai au 4 septembre
9h30 - 18h
Attention : dernier accès au monument, une heure avant la fermeture.
Fermeture du parc 45 min avant la fermeture du monument.
Fermeture les 1er janvier, 1er mai et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) uniquement en billetterie | chèque Lire (uniquement en boutique),"Rue Viollet-le-Duc, 60350 Pierrefonds","Chiens non autorisés dans le château et tenus en laisse dans le parc | Poussettes autorisées dans le parc, non autorisées dans le château | Parking poussettes dans la cour d'honneur | Photos autorisées dans le château sans flash et sans pied d’appareil photo | Des sièges-cannes sont à votre disposition en début de visite. | Des consignes sont à votre disposition à l'accueil du monument. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument.",Tarif : 9 €
Villa Cavrois,https://www.villa-cavrois.fr/,"Près de Lille, découvrez la villa Cavrois, monument emblématique de Robert Mallet-Stevens !",11.0,Gratuit pour les - de 26 ans (hors groupes scolaires),"Du 2 janvier au 31 décembre 
10h - 18h
Fermé le lundi

Dernier accès au monument 45 min avant la fermeture
Évacuation 15 min avant la fermeture
Fermetures annuelles
Les 1er janvier, 1er mai et 25 décembre",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) (uniquement pour les droits d'entrée) | chèque Lire (uniquement en boutique) | mandat administratif & Pass culture (réservation de groupes),"60 avenue John Fitzgerald Kennedy, 59170 Croix","Photos autorisées sans flash dans la villa | Interdiction d'utiliser un trépied ou tout matériel professionnel volumineux sans avoir fait une demande auprès du monument | Chiens interdits dans le parc et la villa, seuls les chiens-guides sont acceptés | Poussettes interdites au sein de la villa, elles devront être laissées devant l'entrée principale, sous le auvent à l'intérieur du parc. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 11 €
Cité internationale de la langue française - château de Villers-Cotterêts,https://www.cite-langue-francaise.fr/,"Découvrez un lieu culturel et de vie entièrement dédié à la langue française et aux cultures francophones, au cœur du château de Villers-Cotterêts dans l'Aisne.",9.0,Gratuit pour les - de 26 ans,"Accès au parcours permanent 
Du mardi au dimanche
10h - 18h30 
Dernier accès à la Cité, une heure avant la fermeture.
À noter : nous conseillons au moins 2h de visite pour découvrir les 1200m² du parcours permanent et sa soixantaine de dispositifs. N'hésitez pas à prévoir votre heure d'arrivée en conséquence pour une visite sereine.
Fermeture le lundi et les 1er janvier, 1er mai et 25 décembre. Fermeture à 17h30 les 24 et 31 décembre (dernier accès à 16h30).
Accès à la cour des Offices : dès 8h30 du 2 septembre 2025 au 3 juillet 2026, à partir de 9h30 durant les vacances d'été.
Café Chez Alexandre
Du mardi au dimanche
10h - 18h
Librairie L'Arbre à palabres
Du mardi au dimanche
10h - 18h45",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"1, place Aristide Briand, 02600 Villers-Cotterêts","Vestiaires en libre-service à votre disposition pour y déposer vos affaires personnelles, à l'exception des bagages volumineux (de dimensions supérieures à 55cm x 35cm x 20cm) | Mise à disposition de fauteuils roulants sur demande auprès des agents de billetterie | Poussettes et porte-bébés ventraux autorisés dans la Cité | Espace à langer à votre disposition au rez-de-chaussée | Photos autorisées sans flash | Pique-nique autorisé, sous réserve de repartir avec ses déchets | Interdiction de fumer sur l’ensemble du site",Tarif : 9 €
Maison et jardins de Georges Clemenceau,https://www.maison-de-clemenceau.fr/,Découvrez la villégiature où Georges Clemenceau se ressourça pendant les dix dernières années de sa vie.,9.0,Gratuit pour les - de 26 ans,"Du 15 mai au 15 septembre
10h - 12h30 et 14h - 18h30
Du 16 septembre au 14 mai
10h - 12h30 et 14h - 17h30
Attention : dernier accès au monument 45 minutes avant la fermeture.
Fermetures
Fermeture les 1er janvier, 1er mai, 1er novembre et 25 décembre.
Le monument est fermé tous les lundis.
Fermetures exceptionnelles mercredi 17 décembre 2025 toute la journée, jeudi 18 décembre matin, mardi 6 janvier 2026 toute la journée.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV),"76 rue Georges Clemenceau, 85520 Saint-Vincent-sur-Jard, Tél : 02 51 33 40 32, maison.clemenceau@monuments-nationaux.fr","Possibilité de repos au cours de la visite. | Des sièges pliants et sièges cannes sont disponibles sur demande à l'accueil. | Le sac FACIL : le kit qui s'adapte à vous ! Le nouveau dispositif d'accessibilité de la maison et jardins de Georges Clemenceau. Ce sac qui contient des objets apaisants sont mis à votre disposition pour la visite du monument. Gratuit et sur demande. Il doit être rendu après votre visite à l'accueil. Dans ce sac, tout est pensé pour vous offrir une visite plus confortable et adaptée à vos besoins : lunettes de soleil pour adoucir la lumière, casque anti-bruit pour se couper des sons trop présents, balle anti-stress pour relâcher la pression. Que vous soyez hypersensible, un peu anxieux, fatigué ou que vous ayez simplement envie de visiter à votre rythme, ce kit est là pour vous accompagner. Ainsi le sac FACIL, Facilite, Accompagne, Calme, Implique, et Libère. Venez visiter le monument en toute sérénité ! | Boucle à induction magnétique à la billetterie et en boutique. | Plan signalétique tactile. | Boîte à odeur dans le parcours de visite dans la salle d'exposition. | Parcours sonore (pour le confort des visiteurs, nous vous conseillons d’apporter vos écouteurs ou votre casque audio. Quelques casques audio sont disponibles à l’accueil sur remise d’une pièce d’identité). | Librairie boutique. | Wi-Fi. | Les valises et les gros sacs de randonnées sont interdits. Les petits sacs (dimensions inférieures au format cabine) sont autorisés. | Les animaux ne sont pas autorisés, même dans un sac de transport, à l’exception des chiens guides pour les personnes non voyantes ou d’assistance. | Il est interdit de manger dans le monument. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac. | Les couteaux sont interdits. | Les trottinettes sont interdites. | Le monument n’est pas accessible aux mineurs non accompagnés par un responsable majeur. | Pour les groupes, une réservation à l'avance est nécessaire pour accéder au monument : consultez les onglets dédiés aux groupes.",Tarif : 9 €
Château de Castelnau-Bretenoux,https://www.castelnau-bretenoux.fr/,"À 25 kilomètres de Rocamadour, visitez le château fort des barons de Castelnau.",9.0,Gratuit pour les - de 26 ans,"Du 2 mai au 30 juin
10h - 12h30 et 14h - 18h30
Du 1er juillet au 31 août
10h - 18h30
Du 1er septembre au 30 avril
10h - 12h30 et 14h - 17h30
Fermé le mardi
Attention : dernier accès au monument une heure avant la fermeture.
Fermeture les 1er janvier, 1er mai, 1er et 11 novembre, 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"1 place Jean Mouliérat, 46130 Prudhomat","Chiens tenus en laisse autorisés dans le château, sauf à l’intérieur des appartement | Poussettes autorisées hors appartements, dans les parties extérieures | Photos autorisées dans le château sans flash | Dans la cadre d'une animation programmée à heure fixe, veillez à vous présenter à l'accueil/en billetterie au moins 15 minutes avant le début de l'animation | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 9 €
Monastère de Saorge,https://www.monastere-saorge.fr/,"Découvrez un ancien couvent de franciscains, remarquable témoignage de l'architecture baroque.",7.0,Gratuit pour les - de 26 ans,"Du 1er février au 31 mai
Ouvert tous les jours sauf le lundi 
10h - 13h et 14h -17h
Du 1er juin au 30 septembre
Ouvert tous les jours
10h - 18h
Du 1er octobre au 31 octobre
Ouvert tous les jours sauf le lundi 
10h - 13h et 14h -17h
Attention : dernier accès au monument 30 minutes avant la fermeture.
Fermeture annuelle du 1er novembre au au 31 janvier
Fermé le 1er mai.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Montée du couvent, 06540 Saorge","Librairie-boutique | Vente de boissons fraîches | Toilettes | Interdit aux chiens (sauf chiens guides et d'assistance) | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument. En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 7 €
Chapelle expiatoire,https://www.chapelle-expiatoire-paris.fr/,"Au cœur du square Louis XVI à Paris, découvrez la Chapelle expiatoire, petite merveille de style néoclassique tardif.",7.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 septembre
10h - 12h30 et 13h30 - 18h30
Fermé dimanche et lundi
Du 1er octobre au 31 mars 
10h - 12h30 et 13h30 - 17h 
Fermé dimanche, lundi, mardi 
Dernier accès au monument, 30 minutes avant la fermeture.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"Square Louis XVI, 29, rue Pasquier, 75008 Paris",,Tarif : 7 €
Palais Jacques Cœur,https://www.palais-jacques-coeur.fr/,"Découvrez le personnage d'exception que fut Jacques Cœur, marchand, aventurier et argentier du roi Charles VII.",9.0,Gratuit pour les - de 26 ans,"Du 1er avril au 30 avril
Visite libre : 10h - 12h15 et 14h - 17h45
Visite commentée : 10h30 ; 14h30 ; 15h30 ; 16h15

Du 2 mai au 30 juin
Visite libre : 9h30 - 12h15 et 14h - 18h15
Visite commentée : 10h30 ; 14h30 ; 15h30 ; 16h45 
Du 1er juillet au 31 août
Visite libre : 10h - 18h15
Visite commentée : 10h30 ; 11h30 ; 14h30 ; 15h30 ; 16h45
Du 1er au 30 septembre
Visite libre : 10h - 12h15 et 14h - 17h45
Visite commentée : 10h30 ; 14h30 ; 15h30 ; 16h15

Du 1er octobre au 31 mars
Fermeture exceptionnelle le 15 décembre matin
Visite libre : 9h30 - 12h15 et 14h - 17h15
Visite commentée : 10h30 ; 14h30 ; 15h45
 À noter : dernier accès au monument 45 min avant la fermeture.
Fermeture les 1er janvier, 1er mai, 1er et 11 novembre, et 25 décembre.",espèces | cartes bancaires | chèque | chèque Culture | chèque-vacances (ANCV) | chèque Lire (uniquement en boutique),"10 bis rue Jacques Cœur, 18000 Bourges","Boutique | Chiens non autorisés | Poussettes non autorisées dans le palais | Photos autorisées | Grands sacs à dos et valises à roulettes interdites. Pas de consigne. | Interdiction de fumer sur l’ensemble du site, tant à l’intérieur qu’à l’extérieur du monument
En application du décret n° 2025-582 du 27 juin 2025 relatif aux espaces sans tabac, les lieux collectifs extérieurs où enfants et adolescents peuvent être présents ou exposés, notamment les parcs et jardins publics, deviennent des espaces sans tabac.",Tarif : 9 €
